player,total_plays,avg_xoe,total_explosives,avg_pred
J.Gresham,22,0.9326795149933208,9,0.47641139409758826
K.Cousins,55,0.9264370132576335,9,0.23719935037873008
R.Tannehill,59,0.9060493308608815,12,0.29734049964759307
T.Lawrence,26,0.9001894856874759,7,0.3690412835432933
J.Herbert,33,0.8994234249447332,7,0.312697787176479
K.Wright,25,0.8990216875076293,10,0.5009783124923706
B.Bortles,28,0.897549279566322,7,0.3524507204336779
D.Brees,24,0.8946785094837347,0,0.10532149051626523
M.Stafford,32,0.8928768732585013,5,0.2633731267414987
J.Hurts,67,0.8925789688060533,16,0.34622700134320045
T.Brady,37,0.8908710238095876,2,0.16318303024446643
M.Boone,22,0.8880989727648821,6,0.38462829996239056
T.Bridgewater,30,0.8801255534092586,7,0.3532077799240748
D.Carr,52,0.8720508521566024,5,0.22410299399724373
D.Prescott,57,0.8709550484230644,11,0.3220274077172865
C.Keenum,25,0.8694522440433502,0,0.13054775595664977
B.Roethlisberger,22,0.8677319667556069,1,0.17772257869893854
S.Darnold,26,0.8622462990192267,4,0.2915998548269272
M.Ryan,49,0.8605679072895829,8,0.3026973988328661
C.Wilson,28,0.8602729067206383,11,0.5325842361365046
D.Peoples-Jones,43,0.8602654909671739,16,0.5118275322886401
A.Rodgers,49,0.8587809019550985,9,0.3248925674326566
R.Wilson,105,0.8558360630557651,24,0.3727353655156635
Br.Hall,22,0.8552210209044543,6,0.4175062518228184
F.Moreau,35,0.8552062255995614,14,0.5447937744004386
P.Mahomes,60,0.8530904894073804,12,0.3469095105926196
M.Mariota,62,0.8526634232651803,12,0.3408849638315939
M.Williams,121,0.8489488954386435,44,0.5146874681977202
J.Maclin,27,0.8484589849357251,10,0.5219113854346452
R.Tonyan,38,0.848156364732667,14,0.5202646878989119
S.Anderson,24,0.848053709914287,9,0.526946290085713
G.Smith,26,0.8479899764060974,4,0.30585617744005644
M.Alie-Cox,27,0.8469735593707474,10,0.5233968109996231
R.Higgins,44,0.8467784415591847,16,0.516857922077179
J.Allen,181,0.8459975453536155,40,0.37499692978450605
C.Wentz,66,0.8431803295106599,9,0.2931833068529765
A.Dalton,41,0.8356194299895588,1,0.18877081391288014
K.Murray,78,0.8346105521688094,17,0.3833381657799085
B.Bolden,33,0.8317188981807593,8,0.4107053442434831
L.Jackson,142,0.830932568811195,32,0.39441954386486133
C.Artis-Payne,22,0.8295649208805778,3,0.3067987154830586
J.Winston,50,0.8252000623941421,9,0.3547999376058579
C.Ridley,64,0.82510109920986,26,0.58114890079014
J.Garoppolo,27,0.8250546598875964,0,0.1749453401124036
C.Newton,86,0.8245835288666016,16,0.36146298276130545
R.Penny,72,0.8207561232977443,14,0.37368832114670014
D.Walker,53,0.8195632603370918,18,0.5200593811723421
K.Bourne,65,0.8190391299816279,23,0.534807023864526
R.Fitzpatrick,29,0.8177187576376158,3,0.2857295182244531
D.Jones,57,0.8165604370205026,13,0.4115097384180939
Ju.Jones,26,0.8143530339002609,11,0.6087238891766622
Ja.Brown,20,0.8119625799357891,7,0.5380374200642108
T.Higgins,69,0.8102848598922509,23,0.5230484734410825
E.Lacy,39,0.8077135460499005,5,0.32049158215522766
M.Trubisky,43,0.8066150961920272,6,0.332919787528903
J.Jones,134,0.8047032382394841,51,0.575893776685889
G.Kittle,108,0.8005794254993951,37,0.5420131670931975
D.Bryant,61,0.7985447014941544,17,0.48014382309600956
C.Anderson,110,0.7964795608412135,18,0.36715680279515006
J.Cook,103,0.7963400038990002,27,0.46579591843109686
B.Aiyuk,67,0.7946078643869998,23,0.5486757177025524
T.Johnson,103,0.7912881708550221,24,0.4417215378828419
Da.Johnson,39,0.7892830524689112,7,0.3902041270182683
T.Montgomery,88,0.7882749465378848,15,0.38217959891666065
J.Chase,52,0.7877970910989321,15,0.5006644473626063
M.Hardman,44,0.7870832414112308,13,0.5083713040433147
E.Mitchell,60,0.7862338061134021,10,0.38043286055326464
J.Goff,47,0.7853362338340029,3,0.2784935534000397
D.Pettis,27,0.7850166139779268,7,0.47424264528133253
R.Lewis,23,0.7847290414830913,6,0.47614052373430005
D.Henderson,105,0.7841646503834497,16,0.36821630199750266
D.Foreman,85,0.7830932396299699,10,0.33455381919355953
K.Benjamin,54,0.7830037046913747,15,0.49477407308640303
D.Parker,125,0.781085353255272,35,0.4989146467447281
R.Mostert,104,0.7804989744550906,21,0.42142410246798623
J.Brissett,47,0.7803576658380792,2,0.26219552565128246
J.Conner,223,0.7797617627633526,38,0.3906418246805935
P.Laird,28,0.7796523826462882,5,0.3989190459251404
W.Snead,57,0.7793373645920503,18,0.5364521090921602
M.Ingram II,21,0.7789888679981232,4,0.4114873224780673
Da.Williams,50,0.7788469499349594,9,0.4011530500650406
T.Kelce,196,0.7782643689792983,59,0.522756039183967
M.Gillislee,40,0.7776263035833836,5,0.3473736964166164
N.Collins,29,0.7770075119774917,10,0.5678200742294048
L.Blount,122,0.7761797228308974,13,0.33037765421828286
K.Walker,64,0.7760170744732022,10,0.38023292552679777
K.Bibbs,21,0.7756771402699607,4,0.4147990502062298
I.Pacheco,34,0.7756164897890652,5,0.3714423337403466
W.Snead IV,28,0.775341118552855,8,0.5103731671614307
A.Blue,47,0.7749485715906671,6,0.352711002877418
A.Green,112,0.7729051039953317,30,0.49495203886181116
C.Davis,97,0.7723831648832744,31,0.547204463982705
T.Huntley,23,0.7723691748536151,3,0.3580656077550805
M.Wallace,42,0.7722404244400206,13,0.5372833850837889
T.Tagovailoa,25,0.7720519661903381,1,0.26794803380966187
A.Collins,107,0.771681880700254,15,0.3685050351875965
S.Shepard,123,0.771062276712278,34,0.5053604875153642
C.Latimer,21,0.7710175968351818,6,0.5146966888791039
D.Chark Jr.,32,0.7709945263341069,9,0.5102554736658931
C.Conley,66,0.7704703895883127,18,0.5022568831389601
T.Williams,53,0.7698690528577229,14,0.4942818905385035
M.Johnson,30,0.7696881954868634,8,0.4969784711798032
A.Luck,25,0.7673927107453347,1,0.2726072892546654
T.Conklin,41,0.7667342260843371,14,0.5747291885498094
M.Callaway,23,0.7644759261089823,6,0.49639363910840906
A.Morris,80,0.7642979135736823,13,0.3982020864263177
M.Valdes-Scantling,73,0.7641078074500985,22,0.5372620555636001
M.Asiata,28,0.7640566660889557,2,0.30737190533961567
C.Carson,173,0.7637335557296786,23,0.3692144211489341
D.Inman,46,0.7635738091624301,14,0.5407740169245264
M.Lynch,69,0.7634917562422545,6,0.3234647654968759
J.Mixon,304,0.7631438954390193,42,0.37501399929782275
J.Jefferson,94,0.7615158624471502,27,0.5257181801060413
K.Allen,174,0.7614071628656881,47,0.5087077796630476
C.Fleener,28,0.7611336676137788,7,0.4888663323862212
M.Sanders,202,0.7600837990198985,30,0.38843105246525
N.Chubb,294,0.7584745227580979,42,0.384382620099045
D.Watson,89,0.7583527066064685,15,0.4101866192362282
K.Herbert,46,0.7579914150030717,8,0.4159216284751892
K.Golladay,83,0.7563307269150952,26,0.5569222851330975
J.Warren,21,0.7554271334693545,3,0.3874300093877883
D.Moore,131,0.7554263489619466,37,0.5270163991296565
G.Davis,52,0.7551849384147388,14,0.5140458308160305
D.Henry,377,0.7550691409673868,52,0.3828618935153718
M.Andrews,95,0.7545368517699994,29,0.5507263061247374
M.Mack,133,0.7540860167123321,20,0.39628992313729194
O.Beckham,117,0.7540802988741133,33,0.5279709831771687
D.Murray,117,0.7534762778852739,13,0.3576348332258371
S.Roberts,43,0.753203134204066,12,0.5258666332377944
A.Ekeler,253,0.7529496349129281,42,0.4130582702254118
C.Akers,58,0.7526617774675632,7,0.36802787770485057
M.Bennett,26,0.7524146323020642,7,0.5168161369287051
J.Stewart,90,0.7519354257318709,8,0.336953463157018
J.Reagor,30,0.7518752743800481,8,0.5147913922866185
C.Kupp,158,0.751736773437337,44,0.5267442392208909
A.Jeffery,79,0.7497518500195274,19,0.4907544790943967
J.Jeudy,61,0.7495061058978565,16,0.5127889760693566
V.Davis,30,0.7491107846299807,7,0.48422254870335263
T.Ginn,72,0.748671023796002,21,0.5429956428706646
J.Ajayi,124,0.74757749322922,16,0.3814547648352961
W.Gallman,87,0.7461721804635278,10,0.36877034827210436
M.Walton,20,0.7461154215037823,4,0.4538845784962177
M.Ingram,228,0.7454225701328955,27,0.37299848249868345
B.Powell,150,0.7452716767787934,22,0.4013949898878733
T.Hill,256,0.7447152240783907,54,0.46622227592160925
R.Jones,129,0.7445361234189928,19,0.40275069828643356
D.Slayton,69,0.7443220572195192,19,0.5310402616210605
A.Lazard,43,0.7441282154515733,11,0.5116857380367988
D.Cook,312,0.7441170305873339,45,0.40011373864343536
O.Howard,50,0.7440570369362831,15,0.5559429630637169
C.Lamb,89,0.7428183270974106,23,0.5156086391947242
B.Cooks,164,0.7424024596083455,43,0.519792662342874
K.Dixon,40,0.7420479625463485,5,0.3829520374536514
E.Benjamin,37,0.7415033800376428,5,0.3936317550974923
I.Crowell,148,0.7411508214836185,15,0.3602005298677328
R.Mathews,30,0.7404629995425542,2,0.3262036671241125
K.Drake,236,0.7403958619777429,28,0.37824820581886726
Jo.Howard,58,0.7399437293924135,4,0.32902178784896585
T.Allgeier,51,0.7394951821542254,4,0.3389361903947942
K.Williams,48,0.7392917377874255,7,0.4065415955459078
J.Washington,46,0.739127489535705,9,0.45652468437733856
C.Claypool,51,0.7390118121516471,12,0.49628230549541175
J.Reynolds,69,0.7374816789575245,20,0.5523733935062436
K.Hinton,20,0.7370865896344185,5,0.5129134103655815
J.Howard,174,0.7368089770791174,21,0.38388067809329635
W.Dissly,26,0.7366905831373655,6,0.49407864763186526
A.Peterson,201,0.7356387720030931,20,0.3638637155590959
J.Burrow,36,0.7349487294753393,2,0.3206068260802163
D.Smith,57,0.7348687667072865,15,0.5282891280295556
T.Smith,67,0.7342512442994473,18,0.5344054721184631
D.Samuel,104,0.7340634714525479,27,0.5255519131628367
F.Whittaker,23,0.733895568743996,5,0.4834957356038301
T.Homer,29,0.7337879577073557,6,0.4731085940167822
J.Jacobs,252,0.7330384333100584,30,0.38600918573756066
C.Patterson,133,0.7330238362003986,19,0.4098333066567442
B.Mayfield,40,0.7322392925620079,3,0.3427607074379921
H.Henry,93,0.731890269985763,26,0.5476796224873554
R.Freeman,95,0.7318350995841779,10,0.3734280583105589
C.Ivory,76,0.7313075653816524,8,0.3739555925130844
D.Carter,36,0.7306940340333514,9,0.5193059659666486
T.Boyd,121,0.7305999409315015,31,0.5255984061759366
R.Matthews,36,0.7303176000714302,10,0.5474601777063476
A.Smith,27,0.7296878121517323,2,0.3443862619223418
J.Dobbins,55,0.7295853143388574,7,0.3976874129338698
D.Goedert,54,0.7293007740819896,15,0.5484770036957882
A.Firkser,35,0.7290540022509439,7,0.47094599774905616
K.Vaughn,21,0.7289451715492067,1,0.31867387606984093
A.St. Brown,59,0.7287306368856107,14,0.5085574987076097
J.Gordon,26,0.728673211657084,7,0.5405575575736853
D.Johnson Jr.,34,0.7284049847546745,5,0.41865383877473716
E.Elliott,438,0.7281367963171441,53,0.39286776989290156
C.Clement,58,0.7281161058565666,6,0.3753321700055024
M.Goodwin,63,0.7280740534502362,16,0.5258942005180177
D.Harris,153,0.7279796736692291,24,0.42888307142881005
D.London,21,0.7275573980240595,5,0.5105378400711786
D.Montgomery,240,0.7274611224730809,25,0.3767055441935857
A.Brown,197,0.727285484069495,50,0.5265216225294898
G.Olsen,65,0.7272681101010396,16,0.5188857360528065
M.Evans,214,0.7272308858755593,59,0.5484700487038799
C.Samuel,98,0.7271123242621519,21,0.48717339002356236
S.Michel,184,0.7270202492566212,20,0.3816754029172918
J.Wilkins,54,0.7270036949603645,7,0.40262593466926505
A.Mattison,107,0.7268290447297497,15,0.41335787115810074
L.Fournette,286,0.726441523307687,33,0.38894309207692845
D.Chark,30,0.7264400914311409,6,0.4735599085688591
C.Coleman,35,0.7262408333165306,6,0.44518773811204093
D.Knox,44,0.7260817228393122,11,0.5239182771606878
M.Gesicki,68,0.7260343064280117,13,0.4651421641602236
A.Jones,288,0.7253731986404293,37,0.4030990235817929
M.Thomas,146,0.725172625727033,42,0.5624986071496794
T.Rawls,37,0.7250735083141843,3,0.3560075727668968
J.Meyers,69,0.7250452950812768,18,0.5358242701361144
M.Gaskin,104,0.7249646272796851,13,0.4000353727203149
A.Abdullah,89,0.7247111941321512,11,0.3988843114858263
T.Hightower,27,0.7243892153104147,3,0.3867218958006965
D.Singletary,169,0.7239678932364876,24,0.41804394108303905
C.Sims,40,0.7237896293401718,10,0.5262103706598282
J.Crowder,122,0.7235211665268804,26,0.48959358757148025
A.Thielen,150,0.7234450074036917,42,0.5565549925963084
M.Hollins,28,0.7233992639396872,6,0.4908864503460271
T.West,65,0.7231519002180833,6,0.369155792089609
J.Guyton,20,0.72311986759305,5,0.52688013240695
B.Hill,48,0.7229131491233906,7,0.4229201842099428
B.Watson,26,0.7227518283403837,6,0.5080174024288471
Dam.Williams,29,0.7221762404359621,4,0.4157547940467966
K.Hunt,218,0.7221700078850493,30,0.4154446710140333
R.Kelley,62,0.7219621140149332,4,0.34255401501732485
M.Jones,170,0.7217181153814582,35,0.48416423755971827
M.Pittman,69,0.7215022384256556,19,0.5538600804149241
E.Penny,29,0.7214512989438814,3,0.3819969769181876
T.Heinicke,22,0.7212796414440329,2,0.36962944946505805
T.Yeldon,103,0.7209123665267981,13,0.4053012257062116
V.McDonald,37,0.7207645330880139,8,0.49545168312820226
O.Darkwa,42,0.7204432991288957,4,0.3747947961091995
C.Hubbard,70,0.7203702603067671,6,0.36534402540751865
K.Stills,63,0.7200653257351073,13,0.48628388061409905
D.Jackson,80,0.7199935089796782,16,0.48000649102032183
C.Sutton,86,0.7195567358718362,19,0.5013734966863034
C.Hogan,47,0.7193968781131379,11,0.5146456750783515
D. Thomas,20,0.7192928411066533,4,0.4807071588933468
D.Lewis,126,0.7191363141413719,15,0.39991130490624716
R.McCloud,27,0.7190663864215215,5,0.4661187987636637
Z.Moss,50,0.718771042227745,6,0.4012289577722549
L.Treadwell,37,0.7183475309127086,8,0.49786868530350764
N.Brown,28,0.7182076243417603,4,0.4246495185153825
J.Flacco,20,0.7181871190667153,0,0.28181288093328477
T.Etienne,45,0.7181086669365565,6,0.41522466639677685
C.Michael,46,0.7177921851044116,4,0.36916433663471887
Z.Zenner,42,0.7172594677124705,5,0.40178815133514856
S.Ware,80,0.7165227809920907,11,0.4209772190079093
L.Murray,265,0.7157669496986101,23,0.37102550313157856
K.Osborn,39,0.7155738660158255,9,0.5151953647534052
T.Coleman,165,0.7149550424380736,22,0.41837829089525974
D.Waller,84,0.7145118413581735,21,0.5354881586418265
J.Williams,265,0.7143849379049158,34,0.4139169488875371
L.McCoy,220,0.7142042317851023,26,0.4039775863967159
J.Smith-Schuster,124,0.7138793174057237,27,0.5038626180781473
